index,build,test_index,IODEPTH,SIZE,ENGINE,y_BANDWIDTH,run_index
0,Local,0,64,4,spdk_bdev,2000.0,0
1,Local,0,64,4,spdk_bdev,2000.0,1
2,Local,0,64,4,spdk_bdev,2000.0,2
3,Local,0,64,4,spdk_bdev,2000.0,3
4,Local,0,64,4,spdk_bdev,2000.0,4
5,Local,0,64,4,spdk_bdev,2000.0,5
6,Local,0,64,4,spdk_bdev,2000.0,6
7,Local,0,64,4,spdk_bdev,2000.0,7
8,Local,0,64,4,spdk_bdev,2000.0,8
9,Local,0,64,4,spdk_bdev,2000.0,9
10,Local,1,128,4,spdk_bdev,2000.0,0
11,Local,1,128,4,spdk_bdev,2000.0,1
12,Local,1,128,4,spdk_bdev,2000.0,2
13,Local,1,128,4,spdk_bdev,2000.0,3
14,Local,1,128,4,spdk_bdev,2000.0,4
15,Local,1,128,4,spdk_bdev,2000.0,5
16,Local,1,128,4,spdk_bdev,2000.0,6
17,Local,1,128,4,spdk_bdev,2000.0,7
18,Local,1,128,4,spdk_bdev,2000.0,8
19,Local,1,128,4,spdk_bdev,2000.0,9
20,Local,2,256,4,spdk_bdev,4000.0,0
21,Local,2,256,4,spdk_bdev,4000.0,1
22,Local,2,256,4,spdk_bdev,4000.0,2
23,Local,2,256,4,spdk_bdev,4000.0,3
24,Local,2,256,4,spdk_bdev,4000.0,4
25,Local,2,256,4,spdk_bdev,4000.0,5
26,Local,2,256,4,spdk_bdev,4000.0,6
27,Local,2,256,4,spdk_bdev,4000.0,7
28,Local,2,256,4,spdk_bdev,4000.0,8
29,Local,2,256,4,spdk_bdev,4000.0,9
30,Local,3,512,4,spdk_bdev,4000.0,0
31,Local,3,512,4,spdk_bdev,4000.0,1
32,Local,3,512,4,spdk_bdev,4000.0,2
33,Local,3,512,4,spdk_bdev,4000.0,3
34,Local,3,512,4,spdk_bdev,4000.0,4
35,Local,3,512,4,spdk_bdev,4000.0,5
36,Local,3,512,4,spdk_bdev,4000.0,6
37,Local,3,512,4,spdk_bdev,4000.0,7
38,Local,3,512,4,spdk_bdev,4000.0,8
